event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
SLV1384,2018-01-05,2018,1,"Political violence",Battles,"Armed clash","Police Forces of El Salvador (2009-2019)",,1,"Unidentified Gang (El Salvador)",,3,13,,222,"Central America","El Salvador","San Salvador",Mejicanos,,Mejicanos,13.7332,-89.2171,1,"La Prensa Grafica",National,"On 5 January 2018, in Mejicanos, an armed clash between a gang member and police agents resulted in the death of the former. He was one of the most wanted men by the police.",1,,1607554532,,,,
SLV1383,2018-01-05,2018,1,"Political violence",Battles,"Armed clash","Police Forces of El Salvador (2009-2019)",,1,"B-18: Barrio-18",,3,13,,222,"Central America","El Salvador","San Salvador",Aguilares,,Aguilares,13.9572,-89.1897,1,"La Prensa Grafica",National,"On 5 January 2018, in Aguilares, San Salvador, 3 B-18 gang members were abducted from their house and executed by police officers in an extrajudicial killing in San Jose neighbourhood. While originally reported as an armed clash, new forensic evidence suggests that it was an extrajudicial killing. Allegedly, 15 gangsters were involved in the shooting, and three of them resulted killed. The gang is accused of extorting businessmen of the area and transporters. Hours after the alleged clash a policeman was attacked nearby and was injured. 3 fatalities.",3,,1607554532,,,,
SLV1386,2018-01-05,2018,1,"Political violence",Battles,"Armed clash","Unidentified Gang (El Salvador)",,3,"Unidentified Gang (El Salvador)",,3,33,,222,"Central America","El Salvador","Santa Ana","Santa Ana",,"Santa Ana",13.9942,-89.5597,1,"La Prensa Grafica",National,"On 5 January 2018, in Santa Ana, a man was attacked by unidentified armed men. The victim was a gangster and the perpetrators seem to be members of a rival gang.",1,,1607554533,,,,
SLV1326,2018-01-06,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)","Taxi/Bus Drivers (El Salvador)",7,37,"Civilian targeting",222,"Central America","El Salvador","San Salvador",Ayutuxtepeque,,Ayutuxtepeque,13.7456,-89.2064,1,"La Prensa Grafica",National,"On 6 January 2018, in Ayutuxtepeque a bus driver was killed by gangsters. The hypothesis is that the victim refused to pay for an extortion.",1,,1607554533,,,,
SLV1387,2018-01-07,2018,1,"Political violence",Battles,"Armed clash","MS-13: Mara Salvatrucha",,3,"Police Forces of El Salvador (2009-2019)",,1,13,,222,"Central America","El Salvador","San Vicente","San Sebastian",,"San Sebastian",13.7333,-88.8333,2,"FGR (El Salvador); La Prensa Grafica",Other-National,"On 7 January 2018, in San Sebastian municipality, San Vicente, the police forces of El Salvador clashed with the gang Mara Salvatrucha in canton Los Laureles after receiving information that gang members were in the area. After the clash, the police checked the area and found one of the leaders of the gang MS-13 dead. 1 fatality.",1,,1607554459,,,,
SLV1327,2018-01-07,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)","Taxi/Bus Drivers (El Salvador)",7,37,"Civilian targeting",222,"Central America","El Salvador","San Salvador",Mejicanos,,Mejicanos,13.7332,-89.2171,1,"La Prensa Grafica",National,"On 7 January 2018, in Mejicanos, two taxi drivers were killed by gang members. The victims, father and son, worked as informal taxi drivers and were waiting for clients when they were killed. The hypothesis is that they refused to pay an extortion.",2,,1607554534,,,,
SLV1388,2018-01-07,2018,1,"Political violence",Battles,"Armed clash","B-18: Barrio-18",,3,"Police Forces of El Salvador (2009-2019)",,1,13,,222,"Central America","El Salvador",Sonsonate,Armenia,,"El Guayabo",13.7827,-89.5361,1,"FGR (El Salvador); La Prensa Grafica",Other-National,"On 7 January 2018, in canton El Guayabo, Sonsonate, members of the gang B-18 clashed with the police when the later were checking the area. Two members of the gang were killed during the clash. 2 fatalities.",2,,1615249504,,,,
SLV1391,2018-01-08,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)","Farmers (El Salvador)",7,37,"Civilian targeting",222,"Central America","El Salvador","San Miguel",Moncagua,,Moncagua,13.5333,-88.2500,2,"Diario 1",National,"On 8 January 2018, in Moncagua municipality, San Miguel, a group of gang members intercepted a man when he was heading to graze the cattle in canton Hualama. The man tried to defend himself and the gang members killed him with various gunshots. The victim was a relative of a police officer. 1 fatality.",1,,1607554482,,,,
SLV1393,2018-01-08,2018,1,Demonstrations,Protests,"Peaceful protest","Protesters (El Salvador)","SEPRODEHES: Union for Employees from the Office of the Procurator for the Defence of Human Rights; Labor Group (El Salvador)",6,,,0,60,,222,"Central America","El Salvador","San Salvador","San Salvador",,"San Salvador",13.6894,-89.1872,1,"Diario Co Latino",National,"On 8 January 2018, in San Salvador, members of SEPRODEHES protested in front of the office of the Procurator claiming that the Procurator should be removed.",0,"crowd size=no report",1607554483,,,,
SLV1390,2018-01-08,2018,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (El Salvador)",,3,"Police Forces of El Salvador (2009-2019)",,1,13,,222,"Central America","El Salvador",Morazan,Sociedad,,Sociedad,13.6981,-88.0074,2,"Diario Co Latino",National,"On 8 January 2018, in Sociedad municipality, Morazan, a group of armed men fired against policemen who were looking for a fugitive in a place called Hacienda Vieja. The armed men escaped and left behind firearms, munitions, and other weapons. No fatalities reported.",0,,1607554483,,,,
SLV1392,2018-01-08,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)",,7,37,"Civilian targeting",222,"Central America","El Salvador","San Salvador",Mejicanos,,Mejicanos,13.7332,-89.2171,1,"La Prensa Grafica",National,"On 8 January 2018, In Mejicanos, one man was killed by armed unidentified men. According to the police the perpetrators are gangsters from the 16th January Community.",1,,1607554533,,,,
SLV1394,2018-01-08,2018,1,"Political violence",Battles,"Armed clash","Unidentified Gang (El Salvador)",,3,"Unidentified Gang (El Salvador)",,3,33,,222,"Central America","El Salvador",Sonsonate,Izalco,,Izalco,13.7447,-89.6731,1,"La Prensa Grafica",National,"On 8 January 2018, in Izalco, Sonsonate, a group of at least ten men wearing military uniforms and pretending to be in an operation, took a 16 year old boy out of his house and, 500 meters away from it, proceeded to kill him. The police said that the victim was part of a gang, and the perpetrators seem to be also gang members.",1,,1607554533,,,,
SLV1389,2018-01-08,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)",,7,37,"Civilian targeting",222,"Central America","El Salvador","La Libertad",Colon,,Colon,13.7080,-89.3484,1,"La Prensa Grafica",National,"On 8 January 2018, in Colon, La Libertad, two brothers were attacked and killed by gang members",2,,1607554533,,,,
SLV1328,2018-01-08,2018,1,"Political violence","Violence against civilians",Attack,"MS-13: Mara Salvatrucha",,3,"Civilians (El Salvador)","Taxi/Bus Drivers (El Salvador)",7,37,"Civilian targeting",222,"Central America","El Salvador","San Salvador","San Salvador",,"San Salvador",13.6894,-89.1872,1,"La Prensa Grafica",National,"On 8 January 2018, in San Salvador, a taxi driver was killed by members of the M-13 gang. Three hitmen were arrested by the police. The police said that the reason of the killing was that the taxi driver refused to pay an extortion.",1,,1607554535,,,,
SLV1395,2018-01-08,2018,1,"Political violence",Battles,"Armed clash","MS-13: Mara Salvatrucha",,3,"Police Forces of El Salvador (2009-2019)",,1,13,,222,"Central America","El Salvador",Usulutan,Ozatlan,,Ozatlan,13.3838,-88.5046,1,"FGR (El Salvador); La Prensa Grafica",Other-National,"On 8 January 2018, in Ozatlan, Usulutan, a member of the gang Mara Salvatrucha was killed during an armed clash with the police. The clash occurred when police agents were patrolling the area near the National Institute. 1 fatality.",1,,1715042109,,,,
SLV1397,2018-01-09,2018,1,Demonstrations,Protests,"Peaceful protest","Protesters (El Salvador)",,6,,,0,60,,222,"Central America","El Salvador","San Salvador","San Salvador",,"San Salvador",13.6894,-89.1872,1,"Diario Co Latino",National,"On 9 January 2018, in San Salvador, various representatives from social organizations that belong to CONPHAS participated in a peaceful demonstration in front of the Supreme Justice Court expressing their content for the approval of the National Budget for 2018.",0,"crowd size=no report",1607554483,,,,
SLV1396,2018-01-09,2018,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)","Women (El Salvador)",7,37,"Civilian targeting",222,"Central America","El Salvador","San Salvador","San Salvador",,"San Salvador",13.6894,-89.1872,1,"La Prensa Grafica",National,"On 9 January 2018, in San Salvador, two women were abducted by members of a gang. One of the women escaped and gave the information to the police.",0,,1607554533,,,,
SLV1329,2018-01-09,2018,2,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)","Women (El Salvador)",7,37,"Civilian targeting",222,"Central America","El Salvador","La Libertad",Jicalapa,,Jicalapa,13.5524,-89.5064,1,"Diario 1",National,"Around 9 January 2018 (as reported), in Jicalapa, La Libertad, a young woman was killed and her dismembered body was found. It is believed the killing is related to her relationship with a gang member. There is no information about the perpetrators. 1 fatality.",1,"women targeted: relatives of targeted groups or persons",1638981227,,,,
SLV1401,2018-01-10,2018,1,"Political violence",Battles,"Armed clash","Police Forces of El Salvador (2009-2019)",,1,"Unidentified Gang (El Salvador)",,3,13,,222,"Central America","El Salvador",Sonsonate,Izalco,,Izalco,13.7447,-89.6731,1,"La Prensa Grafica",National,"On 10 January 2018, in Izalco, Sonsonate, the police clashed with members of a gang. The Police officers arrived at a house after being told about some gang members meeting there. During the clash two gang members were killed.",2,,1607554533,,,,
SLV1400,2018-01-10,2018,1,"Political violence",Battles,"Armed clash","Police Forces of El Salvador (2009-2019)",,1,"Unidentified Gang (El Salvador)",,3,13,,222,"Central America","El Salvador","Santa Ana",Coatepeque,,Coatepeque,13.9286,-89.5042,2,"La Prensa Grafica",National,"On 10 January 2018, in rural area of Coatepeque, a group of gang members clashed with the police. The police forces were conducting an operation to capture members of the gang that killed a policeman, his wife, daughter and a neighbour in October 2017. Three gang members were captured, one of them was injured.",0,,1607554534,,,,
SLV1398,2018-01-10,2018,1,"Political violence",Battles,"Armed clash","Unidentified Gang (El Salvador)",,3,"Police Forces of El Salvador (2009-2019)",,1,13,,222,"Central America","El Salvador",Ahuachapan,"El Refugio",,"El Refugio",13.9767,-89.7047,1,"La Prensa Grafica",National,"On 10 January 2018, in El Refugio, Ahuachapan, a policeman was killed by gang members. The police arrested three men and accused them of the homicide.",1,,1607554535,,,,
SLV1399,2018-01-10,2018,1,"Strategic developments","Strategic developments","Looting/property destruction","Police Forces of El Salvador (2009-2019)",,1,"MS-13: Mara Salvatrucha",,3,13,,222,"Central America","El Salvador","San Miguel",Lolotique,,Lolotique,13.5500,-88.3500,1,"Local Source",International,"On 10 January 2018, In Lolotique, San Miguel, the police forces of El Salvador found and dismantled a camp belonging to MS-13 gang. An M16 assault rifle was seized, as well as magazines and two backpacks with abundant ammunition for heavy weapons. The camp, according to the Police, was used as a hideout.",0,,1607554541,,,,
SLV1406,2018-01-11,2018,1,"Political violence",Battles,"Armed clash","B-18: Barrio-18",,3,"Police Forces of El Salvador (2009-2019)",,1,13,,222,"Central America","El Salvador",Sonsonate,Izalco,,Izalco,13.7447,-89.6731,1,"FGR (El Salvador)",Other,"On 11 January 2018, in Izalco, Sonsonate, two members of the gang B-18 were killed in an armed clash with the police forces in the neighbourhood La Otra Banda. Two firearms were seized. 2 fatalities.",2,,1607554521,,,,
SLV1330,2018-01-11,2018,1,"Political violence","Violence against civilians",Attack,"B-18: Barrio-18",,3,"Civilians (El Salvador)",,7,37,"Civilian targeting",222,"Central America","El Salvador","San Salvador",Ayutuxtepeque,,Ayutuxtepeque,13.7456,-89.2064,1,"La Prensa Grafica",National,"On 11 January 2018, in Ayutuxtepeque, San Salvador, two men were found dead on a farm in an area where the 18th Street Gang operates.The evidence suggests an execution.",2,,1607554534,,,,
SLV1402,2018-01-11,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)",,7,37,"Civilian targeting",222,"Central America","El Salvador","La Libertad",Colon,,Colon,13.7080,-89.3484,1,"La Prensa Grafica",National,"On 11 January 2018, in Colon, La Libertad, gang members killed a 42 year old man. No more details were provided by the source.",1,,1607554534,,,,
SLV1404,2018-01-11,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (El Salvador)",,3,"Civilians (El Salvador)",,7,37,"Civilian targeting",222,"Central America","El Salvador","San Miguel","San Miguel",,"San Miguel",13.4833,-88.1833,1,"La Prensa Grafica",National,"On 11 January 2018, In San Miguel, a 18 year old man was kidnapped from his home by five unidentified armed men pretending to be policemen. The victim was found dead hours later",1,,1607554535,,,,
SLV1403,2018-01-11,2018,1,"Political violence",Battles,"Armed clash","MS-13: Mara Salvatrucha",,3,"MS-13: Mara Salvatrucha",,3,33,,222,"Central America","El Salvador","San Miguel",Chapeltique,,Chapeltique,13.6333,-88.2667,1,"La Prensa Grafica",National,"On 11 January 2018, in Chapeltique, an undetermined number of armed men kidnapped two brothers and killed them afterwards. The victims, who were part of a gang, had their hands and feet tied. The police think the assassination might be related to internal fights in M-13 Mara.",2,,1607554535,,,,
SLV1405,2018-01-11,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)","Women (El Salvador)",7,37,"Civilian targeting",222,"Central America","El Salvador",Sonsonate,Izalco,,Izalco,13.7447,-89.6731,1,"La Prensa Grafica",National,"On 11 January 2018, in Izalco, Sonsonate, a woman was killed by gangsters. The victim was going home with her 5 year old son when the gangsters appeared and killed her with a machete. She was the partner of a gangster that is in prison. The police said the assassination may be related to gang disputes.",1,"women targeted: relatives of targeted groups or persons",1638981227,,,,
SLV1408,2018-01-12,2018,2,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (El Salvador)",,3,"Civilians (El Salvador)",,7,37,"Civilian targeting",222,"Central America","El Salvador","La Paz","San Luis Talpa",,"San Luis Talpa",13.4739,-89.0892,2,"FGR (El Salvador)",Other,"Around 12 January 2018 (as reported), in San Luis Talpa municipality, La Paz, a man was killed and his body was found decapitated in Santa Cristina. The reason and perpetrators are unknown. 1 fatality.",1,,1607554521,,,,
SLV1409,2018-01-12,2018,1,"Political violence",Battles,"Armed clash","Unidentified Gang (El Salvador)",,3,"Police Forces of El Salvador (2009-2019)",,1,13,,222,"Central America","El Salvador","San Salvador","San Salvador",,"San Salvador",13.6894,-89.1872,1,"La Prensa Grafica",National,"On 12 January 2018, in San Salvador, twenty gang members attacked undercover agents. Other members of the police backed and a shooting took place. Two gang members were arrested and a 9mm gun was seizured.",0,,1607554533,,,,
SLV1407,2018-01-12,2018,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (El Salvador)",,3,"Unidentified Gang (El Salvador)",,3,33,,222,"Central America","El Salvador","La Paz","San Luis Talpa",,"San Luis Talpa",13.4739,-89.0892,1,"La Prensa Grafica",National,"On 12 January 2018, in San Luis Talpa the corpse of a gang member was found beheaded. The victim was abducted from his hose in the early morning by hooded men, and his body was found hours later.",1,,1607554533,,,,
SLV1410,2018-01-13,2018,1,"Political violence","Violence against civilians",Attack,"MS-13: Mara Salvatrucha",,3,"Civilians (El Salvador)","Police Forces of El Salvador (2009-2019)",7,37,"Civilian targeting",222,"Central America","El Salvador",Ahuachapan,"El Refugio",,"El Refugio",13.9767,-89.7047,1,"Diario Co Latino; La Prensa Grafica",National,"On 13 January 2018, in El Refugio, Ahuachapan, a policeman was killed while being off-duty by members of the Mara Salvatrucha, the reason is unknown. 1 fatality.",1,,1607554459,,,,
SLV1411,2018-01-13,2018,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (El Salvador)",,3,"Police Forces of El Salvador (2009-2019)",,1,13,,222,"Central America","El Salvador","La Libertad",Talnique,,"San Jose Los Sitios",13.7066,-89.4112,1,"FGR (El Salvador)",Other,"On 13 January 2018, canton San Jose Los Sitios, La Libertad, an unidentified armed person attacked the police forces and was killed in the clash. 1 fatality.",1,,1607554521,,,,
SLV2523,2018-01-13,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)",,7,37,"Civilian targeting",222,"Central America","El Salvador","San Salvador",Apopa,,Apopa,13.8072,-89.1792,1,"Diario 1",National,"On 13 January 2018, in Apopa, San Salvador, a gang member shot and killed a man and injured another in Valle del Sol colonia. According to reports, the victims are a father and his son. 1 fatality, 1 injured.",1,,1618261937,,,,
SLV1412,2018-01-13,2018,1,"Political violence","Violence against civilians",Attack,"MS-13: Mara Salvatrucha",,3,"Civilians (El Salvador)","Labor Group (El Salvador)",7,37,"Civilian targeting",222,"Central America","El Salvador",Sonsonate,Armenia,,"El Guayabo",13.7827,-89.5361,1,"La Prensa Grafica",National,"On 13 January 2018, in Tres Ceibas, Armenia, Sonsonate, a bread seller was killed by members of the M-13 gang. No more details are provided by the source.",1,,1670985061,,,,
SLV1413,2018-01-14,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)","Taxi/Bus Drivers (El Salvador)",7,37,"Civilian targeting",222,"Central America","El Salvador","San Salvador",Apopa,,Apopa,13.8072,-89.1792,2,"FGR (El Salvador)",Other,"On 14 January 2018, in Apopa municipality, San Salvador, two armed men killed a bus driver on the road 45 AB at the Puma gas station Puma, Km 12 1/2 in Troncal del Norte. 1 fatality.",1,,1607554520,,,,
SLV1414,2018-01-14,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)","Women (El Salvador)",7,37,"Civilian targeting",222,"Central America","El Salvador","San Salvador",Apopa,,Apopa,13.8072,-89.1792,1,"Diario 1",National,"On 14 January 2018, in Apopa, San Salvador, gang members killed a woman and her daughter in their house at Lotificacion El Angel. The victims are the wife and daughter of a police officer so it is believed the gang members killed them out of revenge. 2 fatalities.",2,"women targeted: girls; women targeted: relatives of targeted groups or persons",1638981227,,,,
SLV1420,2018-01-15,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)",,7,37,"Civilian targeting",222,"Central America","El Salvador",Usulutan,"Santiago de Maria",,"Santiago de Maria",13.4822,-88.4653,1,"Diario 1; La Prensa Grafica",National,"On 15 January 2018, in Santiago de Maria, Usulutan, two armed men attacked a group of people in a bar with guns. Two men were killed and a woman injured. The source mentions that the event could be part of an initiation ritual of a gang. In another incident, gang members shot at a group of men who were walking in the neighborhood La Parroquia. One man was killed and two resulted injured. The reason is unknown. 3 fatalities in total.",3,,1607554459,,,,
SLV1417,2018-01-15,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)","Labor Group (El Salvador)",7,37,"Civilian targeting",222,"Central America","El Salvador","San Salvador",Delgado,,Delgado,13.7242,-89.1703,1,"La Prensa Grafica",National,"On 15 January 2018, in Ciudad Delgado, San Salvador, a transportation worker was killed by armed men. His wife was injured. The perpetrators, according to the police, were gang members.",1,,1607554532,,,,
SLV1418,2018-01-15,2018,1,Demonstrations,Protests,"Peaceful protest","Protesters (El Salvador)","Teachers (El Salvador)",6,,,0,60,,222,"Central America","El Salvador","San Salvador","San Salvador",,"San Salvador",13.6894,-89.1872,1,"La Prensa Grafica",National,"On 15 January 2018, in Plaza Salvador del Mundo, in San Salvador, various unions of teachers protested during the first day of classes of the year. The protesters are asking for the government to raise the salaries, as they agreed to. The president of El Salvador, in an speech, ask for the unions to stay open to talks.",0,,1607554532,,,,
SLV1415,2018-01-15,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (El Salvador)",,3,"Civilians (El Salvador)",,7,37,"Civilian targeting",222,"Central America","El Salvador",Cabanas,Sensuntepeque,,Sensuntepeque,13.8762,-88.6285,2,"FGR (El Salvador)",Other,"On 15 January 2018, in Sensuntepeque jurisdiction, Cabanas, a man wearing underwear was chased downhill by more than 10 unidentified armed men in colonia Las Flores, canton Los Llanito. They shot him several times, until he was killed. 1 fatality.",1,,1615249505,,,,
SLV1416,2018-01-15,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)",,7,37,"Civilian targeting",222,"Central America","El Salvador",Chalatenango,Comalapa,,Comalapa,14.1403,-88.9562,1,"La Prensa Grafica",National,"On 15 January 2018, in Comalapa, on the road that connects to San Salvador, a couple was found killed. The police has the hypothesis that the couple was kidnapped and then killed, because they were wearing pijamas. The killing is related to gang activity according to the police.",2,,1618571140,,,,
SLV1419,2018-01-15,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (El Salvador)",,3,"Civilians (El Salvador)","Former Military Forces of El Salvador (2009-2019)",7,37,"Civilian targeting",222,"Central America","El Salvador",Sonsonate,Juayua,,Juayua,13.8414,-89.7456,1,"La Prensa Grafica",National,"On 15 January 2018, in Juayua, Sonsonate, an ex soldier and his mother in law were killed by unidentified armed men that arrived in their house. The ex soldier worked in a security company. His girlfriend was injured during the attack.",2,,1631029080,,,,
SLV1421,2018-01-16,2018,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (El Salvador)",,3,"Civilians (El Salvador)","Farmers (El Salvador)",7,37,"Civilian targeting",222,"Central America","El Salvador",Sonsonate,Izalco,,Izalco,13.7447,-89.6731,2,"La Prensa Grafica",National,"On 16 January 2018, in rural area of Izalco, Sonsonate, a man was killed by a group of unidentified men while he was working in the management of the Hacienda farm. The Police believe that the perpetrators are gangsters unhappy because he used to support the activities of the police and the army.",1,,1607554535,,,,
SLV1428,2018-01-17,2018,1,Demonstrations,Protests,"Peaceful protest","Protesters (El Salvador)",,6,,,0,60,,222,"Central America","El Salvador","San Salvador","San Salvador",,"San Salvador",13.6894,-89.1872,1,"Diario 1",National,"On 17 January 2018, in San Salvador, San Salvador, people who live near a construction site in Rancho Navarra demonstrated by blocking the Comalapa Highway against the construction of a road.",0,"crowd size=no report",1607554482,,,,
SLV1426,2018-01-17,2018,1,"Political violence",Battles,"Armed clash","Unidentified Gang (El Salvador)",,3,"Unidentified Gang (El Salvador)",,3,33,,222,"Central America","El Salvador","San Salvador",Ilopango,,Ilopango,13.7017,-89.1094,1,"Diario 1",National,"On 17 January 2018, in Ilopango, San Salvador, unidentified men killed with gunshots a gang member who was on board of a microbus in colonia Bosques de La Paz. In the attack, another man resulted injured and was taken to the hospital. It is believed the killing is related to conflicts between gangs. 1 fatality.",1,,1607554482,,,,
